ID,Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
278,548340,8,1,22/04/12,5,20,1,1,2,5,1,1,66
279,548341,5,2,23/04/12,5,6,5,1,1,46,1,2,110
280,548342,10,6,24/04/12,5,26,10,2,2,8,1,6,41
281,548344,4,7,25/04/12,5,2,4,2,2,4,1,7,208
282,548346,10,8,26/04/12,5,26,8,2,1,18,1,8,10
283,548347,6,7,27/04/12,5,3,7,1,1,37,1,6,41
284,548348,3,4,28/04/12,5,8,4,2,1,7,1,4,236
285,548349,1,2,28/04/12,5,5,1,2,1,47,1,1,40
286,548350,6,5,29/04/12,5,3,6,2,1,1,1,6,41
287,548351,7,8,29/04/12,5,4,7,1,2,5,1,7,94
288,548352,3,1,30/04/12,5,8,3,2,2,5,1,1,40
289,548353,8,10,01/05/12,5,20,8,2,1,13,1,8,26
290,548354,5,6,01/05/12,5,6,5,2,2,6,1,6,322
291,548355,2,4,02/05/12,5,1,4,1,2,4,1,4,321
292,548356,10,7,03/05/12,5,26,7,2,1,1,1,7,194
293,548357,3,8,04/05/12,5,8,3,2,1,10,1,3,21
294,548358,1,10,05/05/12,5,5,1,2,1,7,1,1,315
295,548359,4,5,05/05/12,5,2,5,2,1,43,1,5,32
296,548360,7,3,06/05/12,5,4,7,1,2,2,1,7,147
297,548361,2,8,06/05/12,5,1,2,1,2,5,1,2,110
298,548362,6,1,07/05/12,5,3,6,2,2,6,1,1,9
299,548363,10,5,08/05/12,5,26,10,2,2,7,1,5,32
300,548364,8,4,08/05/12,5,7,8,1,1,25,1,4,236
301,548365,7,2,09/05/12,5,4,2,1,2,9,1,2,162
302,548366,5,3,10/05/12,5,6,3,1,2,4,1,3,451
303,548367,10,2,11/05/12,5,26,10,1,1,35,1,2,162
304,548368,1,7,12/05/12,5,5,7,2,1,27,1,7,57
305,548369,3,6,12/05/12,5,8,3,1,2,9,1,3,451
306,548370,5,10,13/05/12,5,6,5,2,1,45,1,5,335
307,548371,4,8,13/05/12,5,2,8,2,2,4,1,4,4
308,548372,2,7,14/05/12,5,1,7,1,2,5,1,7,208
309,548373,1,3,14/05/12,5,5,3,1,2,5,1,3,19
310,548374,6,4,15/05/12,5,3,4,2,2,5,1,6,232
311,548375,7,1,16/05/12,5,4,7,1,1,32,1,1,315
312,548376,4,3,17/05/12,5,22,4,1,2,6,1,4,53
313,548377,6,2,17/05/12,5,3,6,1,1,21,1,2,162
314,548378,8,5,18/05/12,5,7,5,2,2,5,1,8,94
315,548379,4,6,19/05/12,5,22,6,1,2,6,1,6,232
